RA,DEC,z,W1mag,W2mag,W1_W2,M_W1,L_W1,Mstar,log_mass,galaxy_type
196.486,20.5924,0.4093,14.41399956,14.27200031,0.141999245,-27.39501844,1.79476E+12,5.28846E+11,11.72332922,Giant Elliptical / BCG
240.214,33.2017,0.2871,15.03800011,14.64599991,0.392000198,-25.87474653,4.42485E+11,30214687541,10.48021811,Spiral
26.3481,13.9254,0.3361,14.21500015,14.00399971,0.211000443,-27.09291468,1.35883E+12,2.67439E+11,11.42722474,Elliptical
10.3571,25.2015,0.3565,15.07499981,14.81999969,0.255000114,-26.38196555,7.0597E+11,1.0742E+11,11.03108515,Elliptical
25.949,5.6112,0.4116,14.76799965,14.62300014,0.144999504,-27.05538059,1.31266E+12,3.80061E+11,11.57985331,Giant Elliptical / BCG
153.4434,19.7638,0.1131,13.35299969,13.22900009,0.123999596,-25.31803212,2.6498E+11,86746882620,10.93825388,Elliptical
334.9913,-1.4817,0.3415,14.59799957,14.25500011,0.342999458,-26.75016387,9.90982E+11,90125341890,10.95484693,Elliptical
185.6721,2.0997,0.227,13.56799984,13.29800034,0.269999504,-26.76488366,1.00451E+12,1.40009E+11,11.14615595,Elliptical
250.7643,45.7923,0.3992,12.80599976,12.84399986,-0.038000107,-28.93905264,7.44082E+12,6.28263E+12,12.79814148,Giant Elliptical / BCG
194.7367,7.48,0.3531,14.25399971,13.75399971,0.5,-27.17867862,1.47052E+12,53391417208,10.72747145,Elliptical
328.9249,12.5246,0.191,12.71399975,12.50300026,0.210999489,-27.19931774,1.49874E+12,2.94977E+11,11.46978815,Elliptical
221.1325,31.2267,0.2249,13.52499962,13.31400013,0.210999489,-26.78515929,1.02344E+12,2.0143E+11,11.30412415,Elliptical
135.6947,14.3935,0.3143,14.53600025,14.1789999,0.357000351,-26.60313282,8.65472E+11,72522411266,10.86047224,Elliptical
223.2169,15.7854,0.291,14.43099976,14.14700031,0.283999443,-26.51538828,7.9828E+11,1.02517E+11,11.01079589,Elliptical
4.8654,32.0834,0.3584,14.36200047,14.09599972,0.266000748,-27.10844425,1.37841E+12,1.96669E+11,11.29373591,Elliptical
179.0876,19.021,0.3276,14.37699986,14.13000011,0.246999741,-26.86633839,1.1029E+12,1.75856E+11,11.24515719,Elliptical
355.743,41.9235,0.3051,14.30099964,14.04899979,0.251999855,-26.76365077,1.00337E+12,1.55375E+11,11.19138114,Elliptical
354.7309,10.0661,0.3819,14.20400047,13.92599964,0.278000832,-27.42792987,1.85E+12,2.46065E+11,11.39104984,Elliptical
16.7221,-2.4824,0.1842,14.02700043,13.7130003,0.31400013,-25.79892482,4.12639E+11,44464109588,10.6480096,Elliptical
12.742,-9.4896,0.2032,13.6239996,13.33600044,0.287999153,-26.43913022,7.44136E+11,93354280724,10.97013424,Elliptical
7.1845,-0.0964,0.2246,14.10099983,13.77499962,0.326000214,-26.20589674,6.00287E+11,60300116855,10.78031815,Elliptical
172.4647,2.938,0.2351,16.28800011,15.77499962,0.513000488,-24.13075737,88777507819,2987319742,9.475281709,Spiral
173.2132,14.4612,0.0822,12.22299957,12.22500038,-0.002000809,-25.71037623,3.80321E+11,2.60155E+11,11.41523218,Elliptical
151.8861,0.5941,0.0972,12.46700001,12.39599991,0.071000099,-25.85229438,4.33429E+11,1.93454E+11,11.28657771,Elliptical
